Chinese term,English term,Synonyms,Chinese synonyms
肾主水液,The kidney governs water and fluids,,
肾主蛰,The kidney governs hibernation,The kidney governs storing and sealing,
肾主骨,The kidney governs the bones,,
齿为骨之余,Teeth are the extension of the bone,,
肾生髓,The kidney generates marrow,,
肾其华在发,The lustre of the kidney shows in the hair,,
肾开窍于耳,The kidney opens into the ears,,
肾开窍于二阴,The kidney opens into the urethra and anus,,
肾在志为恐,The emotion of the kidney is fear,,
肾在液为唾,The fluid of the kidney is thick saliva,,
肾藏志,The kidney stores will,,
肾恶燥,The kidney dislikes dryness,,
肾合膀胱,The pairing between the kidney and urinary bladder,,
生气之原,The origin of vital qi,,肾间动气
命门,The gate of life,,
命门之火,The fire of the gate of life,,
命门之水,The water of the gate of life,,
中精之府,The house of central essence,,
胆气,Gallbladder qi,,
中正之官,The impartial and righteous organ,The office of impartiality and rectitude,
胆主决断,The gallbladder governs decision-making,,
太仓,The great granary,,
胃脘,Stomach duct,Stomach cavity,
胃气,Stomach qi,,
胃阳,Stomach yang,,
胃阴,Stomach yin,,
胃主受纳,The stomach governs receiving and holding,The stomach governs receiving,
胃主腐熟,The stomach governs decomposition,The stomach governs digestion,
胃主通降,The stomach governs smooth downbearing,,
胃主降浊,The stomach descends the turbid,,
胃喜柔润,The stomach likes softening and moisturizing,,
受盛之官,The receiving and holding organ,The office of receiving and holding,
小肠主受盛,The small intestine governs receiving and holding,,
小肠主化物,The small intestine governs transforming,,
小肠主液,The small intestine governs thick body fluids,,
小肠泌别清浊,The small intestine separates the clear from the turbid,,
传导之官,The conveyance organ,The office of conveyance,
大肠主传导,The large intestine governs conveyance,,
大肠主津,The large intestine governs the thin body fluids,,
州都之官,The reservoir organ,The office of reservoir,
膀胱气化,Qi transformation of the urinary bladder,,
决渎之官,The dredging and draining organ,The office of dredging and draining,
三焦,Sanjiao,The three jiao; triple energizer,
上焦,Upper jiao,,
中焦,Middle jiao,,
下焦,Lower jiao,,
上焦如雾,Upper jiao resembles mist,,
中焦如沤,Middle jiao resembles foam,,
下焦如渎,Lower jiao resembles a sluice,,
元神之府,The house of the original spirit,The house of original Shen,
精明之府,The house of bright essence,,
髓,Marrow,,
骨,Bone,,
脉,Vessel,,
发为血之余,Hair is the extension of blood,,
女子胞,Uterus,,
臣使之官,The servant and messenger organ,The office of the servant and messenger,
精,Essence,,
气,Qi,,
血,Blood,,
津液,Body fluids,,
先天之精,Innate essence,Pre-heaven essence; prenatal essence; congenital essence,
后天之精,Acquired essence,Post-heaven essence; post-natal essence,
精气,Essence qi,,
气化,Qi transformation,,
气机,Qi movement,,
真气,Genuine qi,True qi/Essential qi,
先天之气,Innate qi,Pre-heaven qi; prenatal qi; congenital qi,
后天之气,Acquired qi,Post-heaven qi; post-natal qi,
元气,Yuan-primordial qi,Yuan-original qi; Yuan-source qi,
宗气,Zong-pectoral qi,Ancestral qi/ gathering qi,
营气,Ying-nutrient qi,,
营血,Ying-nutrient blood,,
营行脉中,Ying-nutrient circulates within the vessels,,
卫气,Wei-defensive qi,,
卫行脉外,Wei-defence circulates outside the vessels,,
脏腑之气,Qi of the zang–fu organs,,
中气,Qi of the middle jiao,Central qi,
经气,Qi of meridians,,经络之气
升降出入,"Ascending, descending, entering and exiting",,
气主煦之,Qi governs warming,,
血主濡之,Blood governs nourishing and moistening,,
津,Thin fluids,Jin; thin body fluids,
液,Thick fluids,Ye; thick body fluids,
气为血之帅,Qi is the commander of the blood,,
气能生血,Qi engenders blood,Qi generates blood,
气能行血,Qi circulates blood,Qi moves blood,
气能摄血,Qi controls blood,Qi holds blood; Qi contains blood,
血为气之母,Blood is the mother of qi,,
血能载气,Blood carries qi,,
气能生津,Qi engenders body fluids,Qi generates body fluids,
气能行津,Qi circulates body fluids,Qi moves body fluids,
气能摄津,Qi controls body fluids,Qi holds body fluids; qi contains body fluids,
津能载气,Body fluids carries qi,,
津血同源,Body fluids and blood share the same source,,
精血同源,Essence and blood share the same source,,
血汗同源,Blood and sweat share the same source,,
少火,Moderate fire,,
少火生气,Moderate fire generates qi,,
病因,Causative factors,,
辨证求因,To differentiate pattern to reveal an etiology,,
三因学说,Theory of three etiological categories,,
内所因,Internal pathogenic factors,,
外所因,External etiological factors,,
不内外因,Neither internal nor external etiological factors,Other etiological factors,
外感病因,Exogenous etiological factors,,
内伤病因,Endogenous etiological factors,,
邪气,Pathogenic qi,Evil qi,
阳邪,Yang pathogens,,
阴邪,Yin pathogens,,
虚邪,Deficiency pathogens,,
实邪,Excess pathogens,,
时邪,Seasonal pathogenic factors,,
客邪,Exogenous pathogenic factors,,
六淫,Six pathogenic factors,Six excesses,
疠气,Pestilence qi,,
瘟邪,Epidemic pathogenic factor,,
七情,Seven emotions,,
七情内伤,Seven emotions causing internal damage,,
五志化火,Five emotions transforming into fire,,
饮食失宜,Improper diet,,
劳逸失度,Work–rest imbalance,,
医过,Medical malpractice,Medical errors,
虫兽伤,Animal/insect bites,,
风邪,Pathogenic wind,Wind,
风性开泄,Wind opens and disperses,,
风性轻扬,Wind floats and ascends,,
风性主动,Wind causes movement,,
风善行数变,Wind moves and changes swiftly,,
风为百病之长,Wind is the leading cause of diseases,Wind is the spearhead of a hundred diseases,风为百病之首
寒邪,Pathogenic cold,Cold,
寒易伤阳,Cold tends to impair yang,,
寒性凝滞,Cold congeals and stagnates,,
寒性收引,Cold causes contraction/ contracture,,
暑邪,Pathogenic summer heat,Summer heat,
暑性炎热,Summer heat causes flaming heat,,
暑性升散,Summer heat ascends and disperses,,
暑多夹🗎,Summer heat often combines with dampness,,
🗎邪,Pathogenic dampness,Dampness,
🗎阻气机,Dampness obstructs qi movement,,
🗎胜阳微,"When damp prevails, yang declines",Dampness damages yang qi,
🗎性重浊,Dampness is heavy and turbid,,
🗎性黏滞,Dampness is sticky and stagnant,,
🗎性趋下,Dampness tends to descend,,
燥邪,Pathogenic dryness,Dryness,
燥性干涩,Dryness tends to desiccate,,
燥易伤肺,Dryness easily damages the lung,,
火邪,Pathogenic fire,Fire (Heat),
热邪,Pathogenic heat,,
温邪,Pathogenic warmth,,
毒邪,Toxic pathogens,,
火性炎上,Fire flames upward,,
火易生风,Fire tends to generate wind,,
火易动血,Fire tends to cause bleeding,,
火耗气伤津,Fire consumes qi and body fluids,,
火易扰心神,Fire tends to disturb the heart spirit,Fire tends to disturb the heart Shen,
火易生疮疡,Fire tends to cause sores/ulcers,,
壮火,Hyperactive fire,,
怒伤肝,Excessive anger damages the liver,,
喜伤心,Excessive joy damages the heart,,
思伤脾,Excessive overthinking damages the spleen,,
悲伤肺,Excessive grief damages the lung,,
恐伤肾,Excessive fear damages the kidney,,
饮食不节,Dietary irregularities,,
饮食不洁,Consumption of unclean food,,
饮食偏嗜,Dietary predilections,,
五味偏嗜,Flavour preference,Flavour predilections,
过劳,Overwork,Burnout,
劳力过度,Physical overwork,,
劳神过度,Mental overwork,,
房劳过度,Sexual overindulgence,,
过逸,Physical inactivity,,
五劳,Five exhaustions,,
六郁,Six stagnations,,
七伤,Seven damages,Seven harms,
痰,Phlegm,,
有形之痰,Tangible phlegm,,
无形之痰,Intangible phlegm,,
生痰之源,The source of phlegm generation,,
贮痰之器,The receptacle to hold phlegm,The container of phlegm,
饮,Fluid retention,Retained fluids,
留饮,Prolonged fluid retention,,
伏饮,Deep-lying fluid retention,,
瘀血,Static blood,Stagnant blood,
结石,Stone,Calculus,
胎传,Maternal–to–fetal transmission,,
胎毒,fetal toxin,,
胎弱,Congenital weakness,,
禀赋不足,Constitutional insufficiency,,
内生五邪,Five endogenous pathogenic factors,,
内风,Internal wind,Endogenous wind,
内寒,Internal cold,Endogenous cold,
内🗎,Internal dampness,Endogenous dampness,
内燥,Internal dryness,Endogenous dryness,
内火,Internal fire,Endogenous fire,
阴火,Yin fire,,
病机,Pathogenesis,,
正气,Healthy qi,Anti-pathogenic qi,
新感,New contraction,,
伏邪,Latent pathogenic qi,,
卒发,Sudden onset,Acute onset,
徐发,Gradual onset,Chronic/insidious onset,
复发,Recurrence,,
食复,Recurrence due to improper diet,,
劳复,Recurrence due to overwork,,
两感,Damage to paired meridians,,
传化,Transmission and transformation,,
合邪,Combined pathogens,,
邪害空窍,Pathogenic factors attacking orifices,,
正邪相争,Struggle between anti- pathogenic qi and pathogenic factors,,
邪正盛衰,Waxing and waning of anti-pathogenic qi and pathogenic factors,,
实,Excess,,
虚,Deficiency,,
虚实错杂,Combined deficiency and excess,Mixed deficiency and excess,虚实夹杂
虚中夹实,Deficiency complicated with excess,,
实中夹虚,Excess complicated with deficiency,,
虚实真假,True or false deficiency and excess,,
真虚假实,True deficiency with false excess,,
真实假虚,True excess with false deficiency,,
虚实转化,Deficiency–excess transformation,,
由实转虚,Excess transforming into deficiency,,
因虚致实,Deficiency transforming into excess,,
阴阳失调,Disharmony between yin and yang,,
阴阳偏盛,Excess yin or yang,Preponderance of yin or yang,
阴盛阳衰,Yin waxing with yang waning,,
阳虚阴盛,Yang deficiency with yin excess,,
阳盛阴衰,Yang waxing with yin waning,,
阳胜则阴病,"When yang prevails, yin fluids will be consumed.",,
阳胜则热,Yang excess leading to heat,,
阴胜则阳病,"When yin prevails, yang qi will be impaired.",,
阴胜则寒,Yin excess leading to cold,,
阴阳偏衰,Waning of yin or yang,,
阳虚则寒,Yang deficiency leading to cold,,
阴虚则热,Yin deficiency leading to heat,,
阴虚阳亢,Yin deficiency leading to yang hyperactivity,,
阴虚火旺,Yin deficiency leading to fire hyperactivity,,
阴阳互损,Mutual impairment between yin and yang,,
阳损及阴,Deficiency of yang affecting yin,,
阴损及阳,Impairment of yin affecting yang,,
阴阳两虚,Dual deficiency of yin and yang,,
阴阳格拒,Yin–yang rejection,Repellence between yin and yang,
阴盛格阳,Excessive yin rejecting yang,Excessive yin repelling yang,
阳盛格阴,Excessive yang rejecting yin,Excessive yang repelling yin,
虚阳上浮,Floating upward of deficiency yang,,
阴阳亡失,Collapse of yin or yang,,
亡阴,Yin collapse,Yin depletion,
亡阳,Yang collapse,Yang depletion,
阴竭阳脱,Yin exhaustion and yang collapse,,
阴阳离决,Yin–yang separation,,
气机失调,Disordered qi activity,,
气机不利,Impaired qi activity,Impaired qi movement,
气虚,Qi deficiency,,
气脱,Qi collapse,Qi exhaustion,
气闭,Qi blockage,,
气逆,Qi counterflow,,
气陷,Qi sinking,Qi falls,
气滞,Qi impediment,,
气郁,Qi stagnation,,
气郁化火,Qi stagnation transforming into fire,,
血虚,Blood deficiency,,
血瘀,Blood stasis,,
血寒,Blood cold,,
血热,Blood heat,,
血不归经,Blood failing to flow within the vessels,,血不循经
血不养筋,Blood failing to nourish the sinews,,
气血失调,Qi-blood disharmony,,
气血两虚,Dual deficiency of qi and blood,,
气病及血,Qi disorder affecting the blood,,
血热妄行,Reckless flow of blood due to heat,,
气随液脱,Qi collapse following loss of thick fluids,,
气不化津,Qi failing to transform thin fluids,,
水停气阻,Water retention obstructing the flow of qi,,
气滞血瘀,Blood stasis due to qi stagnation,,
气虚血瘀,Blood stasis due to qi deficiency,,
气不摄血,Qi failing to contain blood,Qi failing to control/hold blood,
气随血脱,Qi collapse following heavy blood loss,,
血随气逆,Blood counterflow with qi,Blood flows with rebellious qi,
伤津,Damage to thin body fluid,,
脱液,Exhaustion of thick body fluid,,
津枯血燥,Fluid exhaustion leading to blood dryness,,
气阴两虚,Dual deficiency of qi and yin,,
关门不利,The water gate failing to operate,,
壮火食气,Hyperactive fire consuming qi,,
营卫不和,Disharmony between the Ying-nutrients and Wei-defence,,
卫弱营强,Weak Wei-defence and strong Ying-nutrients,,
卫强营弱,Strong Wei-defence and weak Ying-nutrients,,
相火妄动,Reckless stirring of ministerial fire,Frenetic stirring of the ministerial fire,
养生,Health preservation,,
天年,Natural life span,,
治未病,Preventing a disease before it arises,,
未病先防,Preventing a disease before it arises,,
既病防变,Preventing transmission of a disease after its onset,,
春夏养阳,Protecting yang in spring and summer,,
秋冬养阴,Nourishing yin in autumn and winter,,
形与神俱,Healthy body and mind,,
四气调神,Regulating spirit according to four seasonal qi,,
五运六气,Five movements and six qi,,
五运,Five movements,,
六气,Six qi,,
天干,Heavenly stems,,十天干；十干
地支,Earthly branches,,十二地支；十二支
甲子,Sixty-year cycle,,六十甲子
岁运,Movement of the year,,
主运,Host movement,,
客运,Guest movement,,
六元,Six origins,,
主气,Host qi,,
客气,Guest qi,,
司天,Celestial controlling,,
在泉,Terrestrial controlling,,
间气,Intervening qi,,左右间气
迁正,Upgrade of intervening qi,,
退位,Downgrade,,
平气,Balanced movements,,
运气同化,Compatibility of movements and qi,,
天符,Heavenly complements,,
岁会,Annual congruence,,
同天符,Identical heavenly complements,,
同岁会,Identical annual congruence,,
太乙天符,Taiyi heavenly complements,,
标本中气,"Tip qi, root qi and middle qi",,
本气,Root qi,,
标气,Tip qi,,
胜复,Prevailing and retaliation,,
胜气,Prevailing qi,,
复气,Retaliating qi,,
君火,Sovereign fire,,
相火,Ministerial fire,,
传统医学,Traditional medicine,,
中医学；中医,Traditional Chinese medicine,,
中医基础理论,Fundamentals of traditional Chinese medicine,Basic theory of traditional Chinese medicine,
整体观念,Holistic concept,Holistic view,
天人相应,Man–nature correspondence,,
天人合一,Man–nature unity,Unity of humans and nature,
神,Spirit,,
神明,Bright spirit,,
气门,Qi gate,,
玄府,Mysterious mansion,,元府
腠理,Interstices,,
五轮,Five wheels,,
血轮,Blood wheel,,
风轮,Wind wheel,,
肉轮,Flesh wheel,,
气轮,Qi wheel,,
水轮,Water wheel,,
七冲门,Seven gates,,
飞门,Flying gate,,
户门,Door gate,,
吸门,Breathing gate,,
贲门,Rushing gate,,
幽门,Pylorus,,
阑门,Screen gate,,
魄门,Corporeal soul gate,,
前阴,Anterior yin,,
后阴,Posterior yin,,
唇四白,Four whites of the lips,Muscles around the lips,
精室,Essence chamber,,
四末,Four extremities,,
膻中,Chest center,Danzhong (CV 17),
虚里,Xu li,,
溪谷,Muscle interspace,,
血室,Blood chamber,,
宗筋,Gathering of muscle around genital region,Ancestral muscles,
膏肓,Gaohuang,,
官窍,Sense organs and orifices,,
八廓,Eight ocular regions,,
白睛,White part of the eyeball,Sclera,
黑睛,Black part of the eyeball,Cornea and iris,
瞳神,Pupil,,
神水,Aqueous humour,,
神膏,Vitreous humour,,
明堂,Bright hall,,
秽浊,Foul turbidity,,
症状,Symptom,,
体征,Sign,,
证,Pattern,Syndrome,证候
病,Disease,,
辨证,Pattern identification,pattern differentiation,
辨病,Disease differentiation,,
辨证论治,Treatment based on pattern identification,Treatment based on pattern differentiation,
四诊合参,Combination of the four diagnostic methods,,
病证结合,Differentiation of disease and pattern,,
司外揣内,Judging the inside from observing the outside,,
望诊类,Inspection,,
望诊,Inspection,Observation,
得神,Presence of spirit,Abundance of spirit,有神
少神,Insufficiency of spirit,Lack of spirit,神气不足
失神,Loss of spirit,Absence of spirit,无神
假神,False spirit,The last radiance of the setting sun/the last flicker of life in a dying person,残灯复明；回光返照
循衣摸床,Carphologia,Carphology,捻衣摸床
色诊,Colour diagnosis,Inspection of colour,望色
常色,Normal complexion,,
主色,Host colour,,
客色,Guest colour,,
病色,Morbid colour,,
善色,Benign colour,,
恶色,Malignant colour,,
病色相克,Conforming/opposing colours,,
面青,Bluish facial complexion,,
面赤,Red facial complexion,,
面黄,Yellow facial complexion,,
面白,White facial complexion,,
面黑,Black facial complexion,,
面色苍白,Pale facial complexion,,
晄白,"Bright, pale facial complexion",,
面焦,Parched facial complexion,,
面色萎黄,Sallow facial complexion,,
面黄胖,"Yellow, puffy face",,
面色黧黑,Dark complexion,,
戴阳证,Floating yang condition,,
颧红,Red cheeks,Malar flush,颧赤
真脏色,True colours of five zang organs,,
囟填,Bulging fontanels,,
囟陷,Sunken fontanels,,
头摇,Shaking of the head,Head shaking,摇头
斑秃,Alopecia areata,Spot baldness,
脂秃,Seborrheic alopecia,,
口眼喎斜,Deviation of the mouth and eyes,,
戴眼反折,Eyes fixed upward,,
瞪目直视,Blank staring,,
目瞤,Twitching of the eyes,,
睛凸,Protrusion of the eyeballs,,
睑废,Drooping eyelid,,
睡时露睛,Sleep with exposed eyeballs,,昏睡露睛
耳痔,Aural polyps,,
鼻痔,Nasal polyps,,
口唇红肿,"Red, swollen lips",Lip wind,唇风
口唇青紫,"Bluish, purple lips",,
口唇淡白,Pale lips,,
口唇焦裂,Chapped lips,Cracked lips,唇裂
口舌糜烂,Mouth ulceration,,
伪膜,Pseudomembrane,,
口疮,Mouth ulcers,,
唇反,Eversion of the lip,,
齿焦,Dry teeth,,
鸡胸,Pigeon chest,,
肋如串珠,Beading of the ribs,,
龟背,Hunchback,Tortoise back,
脊疳,Marasmus,,
角弓反张,Opisthotonus,,
肢体痿废,Limb flaccidity and disuse,,
四肢拘急,Contracture of the four extremities,,
手足蠕动,Convulsions of the hands and feet,,
手足抽掣,Jerking of the hands and feet,Twitching hands and feet,
爪枯,Dry fingernails/toenails,,
梭状指,Fusiform fingers,,
杵状指,Digital clubbing,,
望小儿食指络脉,Inspection of superficial veins on index fingers in children,,
风关,Wind pass,Upper gate; the first gate,上关；初关
气关,Qi pass,,
命关,Life pass,,
透关射甲,Extension of visible veins through all three passes to the nail,,
肌肉瞤动,Muscle twitching,,
肌肤甲错,"Rough, scaly skin",,
阴斑,Yin macules,,
阳斑,Yang macules,,
疹,Heat rash,,
白㾦,Miliaria alba,Sweat rashes,
热气疮,Heat sores,Herpes labialis,
🗎疹,Eczema,,
舌诊,Tongue diagnosis,,
舌象,Tongue manifestations,,
舌下络脉,Sublingual veins,,
舌神,Tongue spirit,,
荣舌,Lustrous tongue,,
枯舌,Withered tongue,,
舌质,Tongue body,,舌体
舌色,Tongue colour,,
淡白舌,Pale white tongue,Pale,
枯白舌,Withered white tongue,,
淡红舌,Pale red tongue,,
红舌,Red tongue,,
绛舌,Crimson tongue,,
紫舌,Purple tongue,,
青舌,Bluish tongue,Blue,
淡紫舌,Pale purple tongue,,
瘀斑舌,Tongue with ecchymosis/petechiae,,
舌润,Moist tongue,,
舌形,Form of the tongue,,
老舌,Tough tongue,,
嫩舌,Tender tongue,,
胖大舌,Enlarged tongue,Larger,
瘦薄舌,Thin tongue,,
点刺舌,Spotted tongue,,
裂纹舌,Fissured tongue,Cracked tongue,
齿痕舌,Tongue with teeth marks,Teeth-marked Tongue with dental impressions; Scalloped tongue,
肿胀舌,Swollen tongue,,
舌衄,Bleeding of the tongue,,
舌态,Motility of the tongue,,
舌强,Stiff tongue,,强硬舌
颤动舌,Trembling tongue,,
吐舌,Protruding tongue,Protruded agitated,
弄舌,Wagging tongue,Agitated tongue,
歪斜舌,Deviated tongue,,
痿软舌,Flaccid tongue,,
短缩舌,Contracted tongue,,
舌纵,Protracted tongue,,
舌麻痹,Tongue paralysis,Paralyzed,
舌謇,Tongue sluggishness,,
舌苔,Tongue coating,,
薄苔,Thin coating,,
厚苔,Thick coating,,
滑苔,Slippery coating,,
燥苔,Dry coating,,
糙苔,Rough coating,,
腐苔,Curdy coating,,
霉酱苔,Rotten-curdy coating,Moulding soymilk coating,
脓腐苔,Suppurative curdy coating,,
腻苔,Greasy tongue,,
全苔,Full coating,,
地图舌,Geographical tongue,Mapped tongue,
花剥苔,Peeled tongue,,
镜面舌,Mirror tongue,,
类剥苔,Exfoliated coating,,
无根苔,Rootless coating,False coating,假苔
有根苔,Rooted coating,True coating,真苔
染苔,Stained coating,,
白苔,White coating,,
白霉苔,"White, rotten coating",,
白黏苔,"White, sticky coating",,
薄白苔,"Thin, white coating",,
积粉苔,Powdery coating,Mealy coating,
黄苔,Yellow coating,,
焦黄苔,Brown–yellow coating,,老黄苔
灰苔,Grey coating,,
黑苔,Black coating,,
闻诊类,Auscultation and olfaction,Listening and smelling,
闻诊,Auscultation,,
金实不鸣,Excess metal failing to sound,,
金破不鸣,Broken metal failing to sound,,
声怯,"Faint, low voice",,
声嘶,Hoarseness,,
谵语,Delirium,,
郑声,Muttering,,
错语,Disordered speech,,
独语,Soliloquy,,
狂言,Manic raving,,
语言謇涩,Slurred speech,,
谵妄,Delirious ravings,,
短气,Shortness of breath,,
少气,Shallow breathing,,气微
太息,Sighing,,叹息
气促,Rapid breathing,,
呃逆,Hiccups,,
嗳气,Burping,Belching,
干咳,Unproductive cough,Dry cough,
呵欠,Yawning,,
口臭,Bad breath,Foul breath,
鼻鼾,Snoring,,
肠鸣,Bowel sounds,Borborygmus,
问诊类,The category of inquiry,,
问诊,Inquiry,,
十问歌,The ten questions,,
恶风,Aversion to wind,,
恶寒,Aversion to cold,,
畏寒,Cold intolerance,Fear of cold,
寒战,Chills,,
恶寒发热,Fever and chills,Fever and aversion to cold,
但寒不热,Chills alone,Aversion to cold without fever,
壮热,High fever,,
潮热,Tidal fever,,
日晡潮热,Tidal fever in the afternoon,Yangming tidal fever,阳明潮热
🗎温潮热,Tidal fever due to warm dampness,,身热不扬
阴虚潮热,Tidal fever due to yin deficiency,,
身热夜甚,Fever aggravated at night,,
手足心热,Feverish sensations in palms and soles,,
手足厥冷,Cold hands and feet,Cold limbs,
五心烦热,"Feverish sensations in palms, soles and chest",,
