WGM2#,English term,Chinese term,Pinyin term,Synonyms,English definition/description,Chinese synonyms
31,Earth is characterized by sowing and reaping,土爰稼穑,tǔ yuán jià sè,null,"The soil of the earth is where crops are sown and reaped. The earth element is used to express transformation, carrying, embracing, etc.",null
32,Metal is characterized by yielding and changing,从革,jīn yuē cóng gé,null,"The nature of metal is to be adaptable and changeable. The metal element is used to express chilliness, descending, purification, etc.",null
33,Water is characterized by moistening and descending,润下,shuǐ yuē rùn xià,null,"The nature of water is to be moist and flow downwards. The water element is used to express coldness, moistening, downward movement, storing, etc.",null
34,The five elements mutually generate,五行相生,wǔ xíng xiāng shēng,Mutual generation among the five elements,"The five elements mutually engender and support one another. The sequential engendering and supporting relationships among the five elements are, specifically, wood generates fire, fire generates earth, earth generates metal, metal generates water and water generates wood.",null
35,The five elements mutually restrain,五行相克,wǔ xíng xiāng kè,Mutual controlling among the five elements,"The five elements mutually control and restrain one another. The sequential restraining relationships among the five elements are, specifically, wood restrains earth, earth restrains water, water restrains fire, fire restrains metal, and metal restrains wood.",null
36,The five elements mutually control and transform,五行制化,wǔ xíng zhì huà,null,"A balanced, harmonized state maintained by mutual generating and restraining relationships among the five elements.",null
37,The five elements overcome and retaliate,五行胜复,wǔ xíng shèng fù,null,The five elements have the actions of overcoming and retaliating with one another.,null
38,The five elements mutually over-restrain one another,五行相乘,wǔ xíng xiāng chéng,Overacting among the five elements,Excessive restraint of an element over the element it controls.,null
39,The five elements mutually counter- restrain one another,五行相侮,wǔ xíng xiāng wǔ,Reverse restraining/ insulting among the five elements,A restraining element becomes controlled by the element it controls.,null
40,Mother qi,母气,mǔ qì,null,"In the five elements, the qi of one element gives birth to the succeeding element.",null
41,Child qi,子气,zǐ qì,null,"In the five elements, the qi of one element is born from the previous element.",null
42,Mother passing illness to child,母病及子,mǔ bìng jí zǐ,null,"In the five elements, when an illness in the mother organ is passed to the child organ.",null
43,Child’s illness affects the mother,子病犯母,zǐ bìng fàn mǔ,Child stealing the mother’s qi,"In the five elements, when an illness in a child organ affects the mother organ.",子盗母气
44,Five directions,五方,wǔ fāng,Five bearings,"The five directions are east, west, south, north and center. In the five elements, they are associated with wood, metal, fire, water and earth respectively.",null
45,Late summer,长夏,cháng xià,null,A fifth seasonal period occurring between the seasons of summer and autumn. It can also refer to the period of the last eighteen days of each season.,null
46,Five seasons,五时,wǔ shí,null,"The five seasons are spring, summer, late summer, autumn and winter. In the five elements, they are associated with wood, fire, earth, metal and water respectively.",null
47,Five qi,五气,wǔ qì,null,"The prevailing climate qualities of the five seasons are wind, summer heat, dampness, dryness and cold. In the five elements, they are associated with wood, fire, earth, metal and water respectively.",null
48,Five transformations,五化,wǔ huà,null,"The five transformative states are birth, growth, transformation, harvest and storage. In the five elements, they are associated with wood, fire, earth, metal and water respectively.",null
49,Five colours,五色,wǔ sè,null,"The five colours are green, red, yellow, white  and black. In the five elements, they are associated with wood, fire, earth, metal and water respectively.",null
50,Five flavours,五味,wǔ wèi,null,"The five flavours are sour, bitter, sweet, pungent and salty. In the five elements, they are
associated with wood, fire, earth, metal and water respectively.",null
51,Five notes,五音,wǔ yīn,Five tones,"The five musical notes are jué (mi), zhǐ(sol), gōng (do), shāng (re), and yǔ (la). In the five elements, they are associated with wood, fire, earth, metal and water respectively.",null
52,1.3 Zang–xiang theory,1.3 藏象,null,null,null,null
53,Zang–xiang,藏象,zàng xiàng,Visceral manifestations,The word“zang”means the internal organs; and the word“xiang”means the outward manifestations of physiological functions and pathological changes of the internal organs.,null
54,Zang–fu,脏腑,zàng fǔ,null,"A collective term for the internal organs of human beings, including five zang organs, six fu organs and extraordinary organs.",null
55,Five zang organs,五脏,wǔ zàng,null,"A collective term for the five internal organs—the heart, liver, spleen/pancreas, lung and kidney.",null
56,Six fu organs,六腑,liù fǔ,null,"A collective term for the six internal organs: gallbladder, stomach, large intestine, small intestine, urinary bladder, and sanjiao (literally translated into“triple energizer”).",null
57,Extraordinary fu organs,奇恒之腑,qí héng zhī fǔ,null,"A collective term for brain, marrow, bone, vessels, gallbladder and uterus. These organs are extraordinary because they store like zang organs.",null
58,Zang–fu organs mutually interconnect,脏腑相合,zàng fǔ xiāng hé,null,"The zang–fu organs mutually correspond with one another, with a (yin) interior–(yang) exterior connection between the zang and fu organs.
Specifically, the heart is internally–externally connected with the small intestine, the lung with the large intestine, the spleen with the stomach, the liver with the gallbladder, the kidney with the urinary bladder, and the pericardium with sanjiao.",null
59,Storage of the five zang organs,五脏所藏,wǔ zàng suǒ cáng,null,The heart stores the spirit; the lung stores the corporeal soul; the liver stores the ethereal soul; the spleen stores the intent; and the kidney stores the will.,null
60,Governance of the five zang organs,五脏所主,wǔ zàng suǒ zhǔ,null,The heart governs blood vessels; the lung governs the skin; the spleen governs the flesh; the liver governs the sinew/tendon; and the kidney governs the bones.,null
61,Fluids of the five zang organs,五脏化液,wǔ zàng huà yè,null,The fluid of the heart is sweat; the fluid of the lung is nasal mucus; the fluid of the spleen is thin saliva; the fluid of the liver is tears; and the fluid of the kidney is the thick saliva.,null
62,Lustres of the five zang organs,五脏外华,wǔ zàng wài huá,null,The lustre of the heart shows in the face; the lustre of the lung shows in the skin hair; the lustre of  the spleen shows in the lips; the lustre of the liver shows in the nails; and the lustre of the kidney shows in the hair.,null
63,Opening of the five zang organs,五脏开窍,wǔ zàng kāi qiào,null,The heart opens into the tongue; the lung opens into the nose; the spleen opens into the mouth; the liver opens into the eyes; and the kidney opens into the ears.,null
64,Emotions of the five zang organs,五脏在志,wǔ zàng zài zhì,null,The emotion of the heart is joy; the emotion of  the lung is grief; the emotion of the spleen is overthinking; the emotion of the liver is anger; and the emotion of the kidney is fear.,null
65,Dislikes of the five zang organs,五脏所恶,wǔ zàng suǒ wù,null,The heart dislikes heat; the lung dislikes cold; the spleen dislikes dampness; the liver dislikes wind; and the kidney dislikes dryness.,null
66,Heart qi,心气,xīn qì,null,"The qi stored by the heart, as opposed to heart blood. It is the driving force of physiological activities of the heart.",null
67,Heart blood,心血,xīn xuè,null,"The blood stored by the heart, as opposed to heart qi. It is the material foundation of physiological activities of the heart.",null
68,Heart yin,心阴,xīn yīn,null,"The yin essence of the heart, as opposed to heart yang. It refers to the quiescent and moistening aspect of the heart’s function.",null
69,Heart yang,心阳,xīn yáng,null,"The yang qi of the heart, as opposed to heart yin. It refers to the activating, impelling and warming aspect of the heart’s function.",null
70,Heart system,心系,xīn xì,Heart connections,"A functional system composed of the heart, small intestine, blood vessels, face, tongue and heart meridian.",null
71,Foundation of life,生之本,shēng zhī běn,null,"It refers to the heart, the foundation of human life.",null
72,The monarch organ,君主之官,jūn zhǔ zhī guān,The office of monarch,It refers to the heart. The heart is called the organ of monarch because it stores the spirit (i.e. the foundation of life).,null
73,The heart governs the bright spirit,心主神明,xīn zhǔ shén míng,The heart governs spirit and/or mind The heart governs mental activities,"The heart dominates the vital activities and governs mental, conscious and thinking activities.",心主神志；心藏神
74,The heart governs the blood and vessels,心主血脉,xīn zhǔ xuè mài,null,The normal functioning of the heart in pumping blood to circulate within the vessels.,null
75,The lustre of the heart shows in the face,心其华在面,xīn qí huá zài miàn,The lustre of the heart shows in complexion,The colour and lustre of the face manifest the functioning of the heart.,null
76,The heart opens into the tongue,心开窍于舌,xīn kāi qiào yú shé,null,The tongue is nourished by heart qi and blood. It is the opening orifice of the heart.,null
77,The tongue is the expression of the heart,舌为心之苗,shé wéi xīn zhī miáo,null,The physiological functions and pathological changes of heart can manifest on the tongue.,null
78,The fluid of the heart is sweat,心在液为汗,xīn zài yè wéi hàn,null,Sweat is associated with the heart.,null
79,The vessels are the tissue of the heart,心在体合脉,xīn zài tǐ hé mài,null,The blood vessels are associated with the heart.,null
80,The emotion of the heart is joy,心在志为喜,xīn zài zhì wéi xǐ,null,Joy is associated with the heart.,null
81,The heart dislikes heat,心恶热,xīn wù rè,null,The heart is intolerant of heat. It is fire in nature and can be easily damaged by fire heat.,null
82,The pairing between the heart and small intestine,心合小肠,xīn hé xiǎo cháng,null,The heart is externally–internally paired with the small intestine through meridians.,null
83,Pericardium,心包,xīn bāo,The pericardium connections,The membrane that encircles and protects the heart.,心包络
84,Coordination between the heart and the kidney,心肾相交,xīn shèn xiāng jiāo,Coordination between water and fire/harmony; between the heart and the kidney,The coordinated balance between ascending heart fire (yang) and descending kidney water (yin).,水火既济
85,Disharmony between the heart and the kidney,心肾不交,xīn shèn bù jiāo,Lack of coordination between water and fire,The disharmony between ascending heart fire (yang) and descending kidney water (yin).,水火不济
86,Lung qi,肺气,fèi qì,null,The qi stored in the lung. It is the driving force of physiological activities of the lung.,null
87,Lung yin,肺阴,fèi yīn,null,"The yin essence of the lung, as opposed to lung yang. It refers to the quiescent and moistening aspect of the lung’s function.",null
88,Lung yang,肺阳,fèi yáng,null,"The yang qi of the lung, as opposed to lung yin. It refers to the activating, impelling and warming aspect of the lung’s function.",null
89,Lung system,肺系,fèi xì,Lung connections,"A functional system composed of the lung, large intestine, skin, body hair, nose and lung meridian.",null
90,Foundation of qi,气之本,qì zhī běn,null,It refers to the lung. The lung is the root of the qi of the entire body.,null
91,The prime minister organ,相傅之官,xiāng fù zhī guān,The office of the prime minister,"It refers to the lung. The lung governs qi and assists the heart to circulate blood; therefore, the lung is compared to the prime minister of a government.",null
92,The lung governs qi,肺主气,fèi zhǔ qì,null,The lung dominates respiration and the qi of the entire body.,null
93,The lung governs breathing,肺司呼吸,fèi sī hū xī,null,The lung dominates breathing in the clean qi and breathing out the stale qi.,null
94,The lung governs upward and outward diffusion,肺主宣发,fèi zhǔ xuān fā,null,This refers to the upward and outward diffusion of lung qi.,null
95,The lung governs descent and purification,肺主肃降,fèi zhǔ sù jiàng,null,This refers to the downward and inward depuration of lung qi.,null
96,The lung governs water circulation,肺主行水,fèi zhǔ xíng shuǐ,null,The lung regulates water circulation and metabolism through dispersing and descending of lung qi.,null
97,Upper source of water,水之上源,shuǐ zhī shàng yuán,null,It refers to the lung. The lung is located on the highest position among other zang–fu organs. It regulates water metabolism of the body.,null
98,The lung regulates waterways,肺主通调水道,fèi zhǔ tōng diáo shuǐ dào,null,The lung regulates waterways through the diffusion of lung qi.,null
99,The lung presides over the hundred vessels,肺朝百脉,fèi cháo bǎi mài,null,The lung presides over vessels of the whole body to assist the heart’s function in circulating blood.,null
100,The lung governs management and regulation,肺主治节,fèi zhǔ zhì jié,null,The lung manages and regulates physiological activities of the entire body.,null
101,The lung governs the skin and body hair,肺主皮毛,fèi zhǔ pí máo,The lung is connected with the skin and body hair,"The lung warms and nourishes the skin and body hair, regulates the opening and closing of the sweat pores and safeguards the surface of the body.",肺合皮毛
102,The outer aspect of the lung is the skin,肺在体合皮,fèi zài tǐ hé pí,null,The skin is associated with the lung.,null
103,The lustre of the lung shows in the body hair,肺其华在毛,fèi qí huá zài máo,null,The colour and lustre of the body hair manifest the functioning of the lung.,null
104,The lung opens into the nose,肺开窍于鼻,fèi kāi qiào yú bí,null,The nose is the opening of the lung.,null
105,The emotion of the lung is grief,肺在志为悲,fèi zài zhì wéi bēi,null,Grief is associated with the lung.,null
106,The fluid of the lung is nasal discharge,肺在液为涕,fèi zài yè wéi tì,null,Nasal discharge is associated with the lung.,null
107,The Lung stores the Corporeal Soul (Po),肺藏魄,fèi cáng pò,null,The lung helps to maintain the instinctive perception and immediate reactivity.,null
108,The lung dislikes cold,肺恶寒,fèi wù hán,null,The lung is intolerant of cold and connected with the skin and body hair. Lung qi is easily damaged by exogenous pathogenic cold.,null
109,The pairing between the lung and large intestine,肺合大肠,fèi hé dà cháng,null,The lung is internally–externally paired with the large intestine through meridians.,null
110,Spleen qi,脾气,pí qì,null,The qi stored in the spleen. It is the driving force of physiological activities of the spleen.,null
111,Spleen yin,脾阴,pí yīn,null,"The yin essence of the spleen, as opposed to spleen yang. It refers to the quiescent and moistening aspect of the spleen’s function.",null
112,Spleen yang,脾阳,pí yáng,null,"The yang qi of the spleen, is opposite to spleen yin. It refers to the activating, impelling and warming aspect of the spleen’s function.",null
113,Spleen system,脾系,pí xì,Spleen connections,"A functional system composed of the spleen, stomach, muscle, lips, mouth and spleen meridian.",null
114,Postnatal foundation,后天之本,hòu tiān zhī běn,null,Refers to the spleen. The spleen transports and transforms nutrients from water and food (i.e. the essential material foundation to maintain vital activities).,null
115,The granary organ,仓廪之官,cāng lǐn zhī guān,The office of the granaries,Refers to the spleen. The spleen transports and transforms nutrients from water and food. It is compared to an officer of the granaries.,null
116,The spleen governs transportation and transformation,脾主运化,pí zhǔ yùn huà,null,"A collective term used to describe the spleen’s functions in transporting and transforming water, food and fluids. The spleen digests water and food, absorbs and distributes nutrients and regulates water metabolism.",null
117,The spleen contains blood,脾主统血,pí zhǔ tǒng xuè,The spleen holds blood,The spleen qi controls the blood to circulate within small vessels.,null
118,The spleen ascends the nutrients,脾主升清,pí zhǔ shēng qīng,null,"Opposite to the“stomach descends the turbid”, the spleen qi ascends and distributes nutrients to the heart and lungs, and maintains normal positions of the internal organs.",null
119,The spleen governs the limbs,脾主四肢,pí zhǔ sì zhī,null,The spleen distributes nutrients of water and food to the four limbs to maintain their normal activities.,null
120,The spleen governs muscles,脾主肌肉,pí zhǔ jī ròu,null,The spleen distributes nutrients of water and food to muscles to maintain their normal activities.,null
121,The spleen governs the four seasons,脾主四时,pí zhǔ sì shí,null,There are four seasons in one year. The spleen is associated with the last 18 days in each season.,null
122,The lustre of the spleen shows in the lips,脾其华在唇,pí qí huá zài chún,null,The colour and lustre of the lips manifest the functioning of the spleen.,null
123,The spleen opens into the mouth,脾开窍于口,pí kāi qiào yú kǒu,null,The spleen receives water and food from the mouth and the mouth is the opening of the spleen.,null
124,The emotion of the spleen is overthinking,脾在志为思,pí zài zhì wéi sī,null,The spleen is associated with thoughtfulness.,null
125,The fluid of the spleen is thin saliva,脾在液为涎,pí zài yè wéi xián,null,Thin saliva is associated with the spleen.,null
126,The spleen stores intent,脾藏意,pí cáng yì,null,The spleen assists the heart in mental/thinking activities.,null
127,The spleen dislikes dampness,脾恶🗎,pí wù shī,null,"The spleen is intolerant of dampness. As an earth organ, the spleen is intolerant and affected by dampness.",null
128,The pairing between the spleen and stomach,脾合胃,pí hé wèi,null,The spleen is externally–internally paired with the spleen through meridians.,null
129,Liver qi,肝气,gān qì,null,"The qi stored in the liver, as opposed to liver blood. It is the driving force of physiological activities of the liver.",null
130,Liver blood,肝血,gān xuè,null,"The blood stored in the liver, as opposed to liver qi. It is the material foundation of physiological activities of the liver.",null
131,Liver yin,肝阴,gān yīn,null,"The yin essence of the liver, as opposed to liver yang. It refers to the quiescent and moistening aspect of the liver’s functions.",null
132,Liver yang,肝阳,gān yáng,null,"The yang qi of the liver, as opposed to liver yin. It refers to the activating, impelling and warming aspect of the liver’s functions.",null
133,Liver system,肝系,gān xì,Liver connections,"A functional system composed of the liver, gallbladder, tendons, nails and liver meridian.",null
134,The liver is the foundation for fatigue endurance,罢极之本,pǐ jí zhī běn,null,"Refers to the liver. The liver stores blood, and the blood nourishes tendons/sinew and helps to endure fatigue.",null
135,The general organ,将军之官,jiāng jūn zhī guān,The office of army generals,Refers to the liver. The liver is resolute and helps with developing and planning strategies. It is compared to an army general.,null
136,The liver governs the free flow of qi,肝主疏泄,gān zhǔ shū xiè,null,The liver maintains free flow of qi over the entire body.,null
137,The liver governs strategic planning,肝主谋虑,gān zhǔ móu lǜ,The liver controls planning,The liver helps with developing and planning strategies.,null
138,The liver stores blood,肝藏血,gān cáng xuè,null,"The liver stores blood, regulates blood volume and prevents bleeding.",null
139,The liver governs ascending and dispersing,肝主升发,gān zhǔ shēng fā,null,The physiological feature of the liver in the free ascending of yang qi.,null
140,The liver is the resolute organ,肝为刚脏,gān wéi gāng zàng,null,"As the resolute organ, the liver likes free will; liver yang (qi) is susceptible to becoming hyperactive.",null
141,The liver likes free will and hates to be suppressed,肝喜条达而恶抑郁,gān xǐ tiáo dá ér wù yì yù,null,The liver is an organ of wind and wood. Liver qi needs to be soft and unobstructed. Free flow of qi guarantees its normal physiological functions.,null
142,The emotion of the liver is anger,肝在志为怒,gān zài zhì wéi nù,null,Anger is associated with the liver.,null
143,The tissue of the liver is sinew,肝在体合筋,gān zài tǐ hé jīn,null,Sinews are associated with the liver.,null
144,Nails are the extension of sinews,爪为筋之余,zhǎo wéi jīn zhī yú,null,"Nails, as the extension of sinews, are nourished by liver blood.",null
145,The lustre of the liver shows in the nails,肝其华在爪,gān qí huá zài zhǎo,null,The colour and lustre of the nails manifest the functioning of the liver.,null
146,The liver opens into the eyes,肝开窍于目,gān kāi qiào yú mù,null,The eyes are nourished by liver qi and blood and therefore the opening orifice of the liver.,null
147,The fluid of the liver are tears,肝在液为泪,gān zài yè wéi lèi,null,Tears are associated with the liver.,null
148,The liver stores the Ethereal Soul (Hun),肝藏魂,gān cáng hún,null,The liver has the ability to help the heart in making strategic plans and balancing caution and courage.,null
149,The liver dislikes wind,肝恶风,gān wù fēng,null,The liver is intolerant of wind. It is associated with wood and susceptible to being affected by wind.,null
150,The pairing between the liver and gallbladder,肝合胆,gān hé dǎn,null,The liver is paired externally–internally with the gallbladder through meridians.,null
151,Yin organ with yang functions,体阴而用阳,tǐ yīn ér yòng yáng,null,"The liver is a yin organ because it stores (yin) blood; however, it maintains the free flow of qi (yang).",null
152,Liver and kidney share the same source,肝肾同源,gān shèn tóng yuán,Yi (liver) and Gui (kidney) share the same source,"The liver stores blood and the kidney stores essence, blood and essence can mutually transform into each other. The liver belongs to Yi (the second heavenly stems) wood, while the
kidney belongs to Gui (the twelfth heavenly stems) water.",乙癸同源
153,Kidney essence,肾精,shèn jīng,null,The essence stored in the kidney. It is inherited from one’s parents and nourished by water and food. It is known as the foundation of physiological activities of the kidney.,null
154,Kidney qi,肾气,shèn qì,null,"Transformed by kidney essence, it is the driving force of physiological activities of the kidney.",null
155,Kidney yin,肾阴,shèn yīn,Primordial yin; genuine yin,"The yin essence of the kidney. Opposite to kidney yang, it refers to the quiescent and moistening aspect of the kidney’s functions.",元阴；真阴
156,Kidney yang,肾阳,shèn yáng,Primordial yang; genuine yang,"Opposite to kidney yin, it refers to the activating, impelling and warming aspects of the kidney’s functions.",元阳；真阳
157,Kidney system,肾系,shèn xì,Kidney connections,"A functional system composed of the kidney, urinary bladder, bones, hair, ears, urethra, anus, and kidney meridian.",null
158,Congenital foundation,先天之本,xiān tiān zhī běn,Innate root,Refers to the kidney. The kidney essence inherited from parents is fundamental to the growth and reproduction.,null
159,The foundation of sealing and storing,封藏之本,fēng cáng zhī běn,null,"Refers to the kidney. The kidney stores and secures essential qi, absorbs clean qi, and holds urine in the urinary bladder.",null
160,The organ of strenuous work,作强之官,zuò qiáng zhī guān,The office of strenuous work,"Refers to the kidney. The kidney stores essence, generates marrow, and dominates bones. It is associated with the ability to do and strive, and therefore, compared to an organ of strenous work.",null
161,The kidney stores essence,肾藏精,shèn cáng jīng,null,The kidney stores and secures the essence of human body.,null
162,The kidney governs reproduction,肾主生殖,shèn zhǔ shēng zhí,null,The function of kidney essence and qi in boosting the maturity of reproductive organs and maintaining reproductive ability.,null
163,Tian Gui,天癸,tiān guǐ,Heavenly water,A material substance transformed and generated by abundant kidney essence. Tian Gui boosts the maturity of reproductive organs and maintains the reproductive function.,null
164,The kidney governs qi reception,肾主纳气,shèn zhǔ nà qì,null,The kidney receives and holds the clear qi inhaled by the lung to maintain the depth of breathing.,null
165,The kidney governs water and fluids,肾主水液,shèn zhǔ shuǐ yè,null,The kidney governs and regulates water metabolism.,null
166,The kidney governs hibernation,肾主蛰,shèn zhǔ zhé,The kidney governs storing and sealing,"The kidney seals, stores and keeps essence within the body.",null
167,The kidney governs the bones,肾主骨,shèn zhǔ gǔ,null,The kidney essence generates marrow to nourish bones.,null
168,Teeth are the extension of the bone,齿为骨之余,chǐ wéi gǔ zhī yú,null,The teeth and the bones share the same source – kidney essence.,null
169,The kidney generates marrow,肾生髓,shèn shēng suǐ,null,The kidney essence transforms into and generates bone marrow.,null
170,The lustre of the kidney shows in the hair,肾其华在发,shèn qí huá zài fà,null,The colour and lustre of hair manifest the functioning of the kidney.,null
171,The kidney opens into the ears,肾开窍于耳,shèn kāi qiào yú ěr,null,The ears are nourished by kidney essence and qi and are the opening orifice of the kidney.,null
172,The kidney opens into the urethra and anus,肾开窍于二阴,shèn kāi qiào yú èr yīn,null,The kidney secures essence and dominates the urethra and anus. The urethra and anus are the opening orifices of the kidney.,null
173,The emotion of the kidney is fear,肾在志为恐,shèn zài zhì wéi kǒng,null,Fear is associated with the kidney.,null
174,The fluid of the kidney is thick saliva,肾在液为唾,shèn zài yè wéi tuò,null,Thick saliva is associated with the kidney.,null
175,The kidney stores will,肾藏志,shèn cáng zhì,null,The kidney assists the heart in governing willpower and memory.,null
176,The kidney dislikes dryness,肾恶燥,shèn wù zào,null,"The kidney is intolerant of dryness. The kidney stores essence and dominates body fluids.
Dryness may damage yin fluids and impair kidney essence.",null
177,The pairing between the kidney and urinary bladder,肾合膀胱,shèn hé páng guāng,null,The kidney is internally–externally paired with the urinary bladder through meridians.,null
178,The origin of vital qi,生气之原,shēng qì zhī yuán,null,The vital qi between two kidneys. It is the origin of the qi of life.,肾间动气
179,The gate of life,命门,mìng mén,null,The root of life and origin of qi transformation. It is closely associated with the functions of the kidney.,null
180,The fire of the gate of life,命门之火,mìng mén zhī huǒ,null,"Opposite to the water of life gate, it refers to the warming, impelling and qi transformation function of kidney yang.",null
181,The water of the gate of life,命门之水,mìng mén zhī shuǐ,null,"Opposite to the fire of life gate, it refers to the cooling, moistening, quiescent and nourishing function of kidney yin.",null
182,The house of central essence,中精之府,zhōng jīng zhī fǔ,null,Refers to the gallbladder. The gallbladder stores bile.,null
183,Gallbladder qi,胆气,dǎn qì,null,The essential qi of gallbladder. It secretes and discharges bile and dominates decision-making.,null
184,The impartial and righteous organ,中正之官,zhōng zhèng zhī guān,The office of impartiality and rectitude,Refers to the gallbladder. The gallbladder is involved with judgment and decision-making. It is therefore compared to the role of justice.,null
185,The gallbladder governs decision-making,胆主决断,dǎn zhǔ jué duàn,null,The gallbladder helps with judgment and decision-making ability.,null
186,The great granary,太仓,tài cāng,null,Refers to the stomach. The stomach decomposes water and food. Stomach qi nourishes all five zang and six fu organs.,null
187,Stomach duct,胃脘,wèi wǎn,Stomach cavity,A collective term for the stomach organ. Its upper duct includes cardia; the lower duct includes pylorus; and between is the middle duct.,null
188,Stomach qi,胃气,wèi qì,null,"Qi of the stomach or of the spleen and stomach, coupled with their physiological functions.",null
189,Stomach yang,胃阳,wèi yáng,null,"The yang qi of the stomach, as opposed to stomach yin. It refers to the activating, impelling and warming aspect of the stomach’s function.",null
190,Stomach yin,胃阴,wèi yīn,null,"The yin essence of the stomach, as opposed to stomach yang. It refers to the quiescent and moistening aspect of the stomach’s function.",null
191,The stomach governs receiving and holding,胃主受纳,wèi zhǔ shòu nà,The stomach governs receiving,The stomach receives and holds the water and food.,null
192,The stomach governs decomposition,胃主腐熟,wèi zhǔ fǔ shú,The stomach governs digestion,The stomach primarily digests water and food and forms chyme.,null
193,The stomach governs smooth downbearing,胃主通降,wèi zhǔ tōng jiàng,null,"Stomach qi needs to be unobstructed and flows downward, so as to pass the primarily digested chyme down to the small intestine.",null
194,The stomach descends the turbid,胃主降浊,wèi zhǔ jiàng zhuó,null,Stomach qi descends the initially digested chyme to the small intestine and eliminates the waste from the body.,null
195,The stomach likes softening and moisturizing,胃喜柔润,wèi xǐ róu rùn,null,In five-element theory the stomach is a fu organ and associated with the earth. It is dry in nature and its normal functioning relies on the moistening of yin fluids.,null
196,The receiving and holding organ,受盛之官,shòu shèng zhī guān,The office of receiving and holding,Refers to the small intestine. The small intestine receives the chyme from the stomach and separates the clear (useful substances) from the turbid (wastes). It is therefore compared to a receptacle or container.,null
