Chinese,English
糖尿病周围神经病变（DPN）为糖尿病常见慢性并发症，可导致足部溃疡、坏疽，严重者可导致截肢，影响患者生活质量。DPN属中医“痹病”“痿病”等范畴，主要病机为气血阴阳亏虚，痰浊瘀血痹阻脉络，临床以气虚血瘀证多见。本文基于《黄帝内经》“气脉常通”理论，提出DPN气虚血瘀证患者的治疗应以“益气活血、化瘀通痹”为原则，使患者气脉通达，延缓疾病进展，为DPN的中医治疗提供参考。,"Diabetic peripheral neuropathy (DPN) is the common chronic complication of diabetes, which can lead to foot ulcers, gangrene, and amputation in severe cases, seriously affecting their quality of life. DPN belongs to the category of ""arthralgia"", ""hemorrhoids"" and other categories of TCM, and the main pathogenesis is the deficiency of qi and blood, yin and yang, and the obstruction of the meridians by phlegm and stasis. Clinically, DPN is more common with qi deficiency and blood stasis syndrome. Based on the theory of ""qi meridian constant communication"" in the Huang Di Nei Jing, this article proposed that for patients with DPN with qi deficiency and blood stasis syndrome, the treatment should be based on the principle of ""invigorating qi and activating blood circulation, dissolving stasis and arthralgia"", so that the patients' qi meridian can be accessible, delay the disease progression, and provide reference for the TCM treatment of DPN."
代谢性疾病前状态是物质代谢紊乱且尚未达到疾病理化指标的机体状态，而糖代谢异常往往是代谢紊乱的关键环节。中医学中，脾的健运是精微物质生成与输布的基石，本文基于《内经》“五气之溢”理论，以脾备化失度为起点，对代谢性疾病前状态加以探讨，以期为临床代谢性疾病防治提供新的思路与方向。,"The pre-metabolic disease state is the body state of substance metabolism disorder that has not yet reached the physical and chemical indicators of the disease, and abnormal glucose metabolism is often the key link of metabolic disorder. In TCM, the healthy function of the spleen is the cornerstone of the production and distribution of fine substances. This article discussed the pre-metabolic disease state based on the theory of ""overflow of Five Qi"" in the Nei Jing, taking the loss of spleen preparedness as the starting point, in order to provide new ideas and directions for the prevention and treatment of clinical metabolic diseases."
心肌梗死后抑郁的病机与气血升降理论密切相关，其核心病机为气血失常，心神受损，升降失司，枢轴不运。治当气血升降同调，治以益气活血、调达升降，其中益气活血以益气为先，根据血瘀程度适当选用活血药，使血脉通利，神有所依；调达升降以调节肝升肺降与脾胃为关键，重视药物升降浮沉之性，顺应脏腑的生理功能，恢复脏腑气机升降运动。,"Depression after myocardial infarction is closely related to the theory of ascending and descending of qi and blood. The core pathogenesis is analyzed as disorder of qi and blood, mental damage, uncontrolled upward and downward movement, and pivot movement failure. The treatment method is to regulate qi and blood, invigorate qi and activate blood circulation and restore the rise and fall of visceral qi. Nourishing qi and promoting blood circulation should invigorate qi in the first. Appropriate blood activating drugs should be selected according to the degree of blood stasis, so that the blood circulation is smooth and the spirit has dependence. The key to restoring the normal balance of qi movement of visceral organs is to regulate not only liver ascending and lung descending but also spleen. Clinicians need pay attention to the nature of drug lifting and falling, conforming the physiological functions of the organs, to restore the rising and falling of the qi movement of internal organs."
雷公藤广泛应用于自身免疫系统疾病的治疗，但其明显的生殖毒性使其临床应用及推广受到限制。目前针对雷公藤的生殖损伤，尚未有明确的解决方案。中医认为，雷公藤的生殖毒性当责之于其辛苦寒凉之性，久用可燥肝血、伤肝阳、耗肾精、损肾阳，破坏脏腑的气血阴阳平衡，致不孕不育。本文根据肝肾与人体生殖功能的联系，提出从“乙癸同源”角度认识雷公藤的生殖毒性，并依据“肝肾同治”思想探索雷公藤生殖毒性的减毒之法，以期为临床安全应用拓展中医理论思考。,"Tripterygium wilfordii is widely used in the treatment of autoimmune system diseases, but its obvious reproductive toxicity limits the clinical application and promotion of the drug. At present, there is no clear solution to the reproductive injury of Tripterygium wilfordii. TCM believes that its reproductive toxicity lies in its properties of pungent, bitter, and cold. Long-term use can dry liver and blood, hurt liver and yang, consume kidney essence, damage kidney and yang, destroy the balance of qi and blood, yin and yang in the internal organs, and cause infertility. Based on the relationship between liver and kidney and human reproductive function, this article proposed to understand the reproductive toxicity of Tripterygium wilfordii from the perspective of ""Yi and Gui homology"", and explored the method of reducing the reproductive toxicity of Tripterygium wilfordii according to the thought of ""treating liver and kidney together"", in order to expand the theoretical thinking of TCM for the safe clinical application of this drug."
目的 基于数据挖掘探讨大椎主治优势病症与配伍规律。方法 检索 2012 年 1 月 1日－2022年8月15日中国知识资源总库（CNKI）、中国学术期刊数据库（万方数据）、中文科技期刊数据库（重庆维普）、中国生物医学文献数据库（CBM）和 PubＭed发表的大椎相关文献，归纳其主治病症和腧穴配伍，采用 Gephi 0.9.5 软件进行复杂网络分析，对比大椎单穴和配伍主治优势病症；采用 SPSS Modeler 18.0 软件，基于 Apriori 算法对腧穴组合进行关联规则分析；采用 SPSS Statistics 26.0 软件对高频腧穴进行聚类分析。结果 纳入文献 722 篇，涉及处方 732 首，单穴主治优势病症为颈椎病、痤疮、和感冒；配伍主治优势病症为颈椎病、变应性鼻炎、缺血性卒中后遗症等 14 类；经脉配伍以足太阳膀胱经为首，阳经频次高于阴经；腧穴配伍以下合穴、背俞穴、八会穴等特定穴为主，高频腧穴有肺俞、百会、风池、足三里等 33个穴，得到 4系 8类大椎配伍组合。结论 大椎广泛应用于内科病症，长于呼吸系统疾病、神经系统疾病及椎动脉型颈椎病，倾向于特定穴多重配伍与聚类组合灵活运用。,"Objective　To discuss dominant symptoms and compatibility rules of Dazhui (GV14) based on data mining. Methods　Literature related to Dazhui (GV14) was retrieved from CNKI, Wangfang, VIP, China Biomedical Literature Database (CBM) and Pubmed databases from January 1, 2012 to August 15, 2022, and the main symptoms of Dazhi (GV14) and the compatibility of acupoints were summarized. Gephi 0.9.5 software was used for complex network analysis to compare the treatment for dominant symptoms with single acupoint of Dazhi (GV14) and the compatibility of the acupoint. SPSS Modeler 18.0 software was used to analyze the association rules of acupoint combination based on Apriori algorithm. The clustering analysis of high frequency acupoints was carried out by SPSS Statistics 26.0 software. Results　A total of 722 articles were included, involving 732 prescriptions. The dominant symptoms of single acupoint were cervical spondylosis, acne, and cold; the treatment for dominant symptoms with compatibility included 14 types, such as cervical spondylosis, allergic rhinitis, ischemic stroke sequelae. The meridian compatibility was dominated by bladder meridian, and the frequency of yang meridians was higher than yin meridians. The compatibility of specific acupoints such as Xiahe acupoint, Beishu acupoint and Bahui acupoint were the main acupoints, and the high frequency acupoints were 33 acupoints such as Feishu (BL13), Baihui (GV20), Fengchi (GB20) and Zusanli (ST36), obtaining 4 series and 8 types of compatible combinations of Dazhui (GV14). Conclusions　Dazhui (GV14) is widely used in the treatment of internal diseases, such as respiratory diseases, nervous system diseases and vertebral artery type of cervical spondylosis. It tends to be flexibly used with multiple compatibility and clustering combination of specific acupoints."
目的　探究针刺结合补阳还五汤对颈动脉狭窄脑血流低灌注模型大鼠肠道菌群的影响。方法　将40只大鼠按随机数字表法分为假手术组、模型组、中药组和针药组，每组 10只。除假手术组外，其余各组采用针控线栓法制备脑缺血模型。中药组灌胃补阳还五汤化裁方水煎液 100 mg/kg，1次/d，连续干预 2周。针药组在中药组治疗基础上，选取“百会”及其左、右侧各旁开 2 mm 处进行干预，1 次/d，连续干预 2 周。分别于给药后 7、14 d 进行神经功能评价和行为学功能评分。采用 16S rRNA 测序对各组大鼠粪便菌群结构和组成进行全面表征分析，采用线性判别效应量分析法（LEfSe）对多组间肠道细菌进行差异分析。结果　给药后第 7、14天，与模型组比较，中药组和针药组神经功能评分降低（P<0.05），行为学功能评分升高（P<0.05）。与模型组比较，中药组和针药组Shannon 指数升高（P<0.05）；厚壁菌门丰度升高（P<0.05），拟杆菌门和变形菌门丰度降低（P<0.05）；梭菌纲丰度升高（P<0.05），丙型变形菌纲丰度降低（P<0.05）；大肠杆菌-埃希氏菌和拟杆菌丰度降低（P<0.05）；针药组乳酸杆菌丰度显著升高（P<0.05）。结论　针刺结合补阳还五汤治疗对颈动脉狭窄脑血流低灌注模型大鼠的症状有改善作用，其机制可能与增加益生菌丰度有关。,"Objective　 To explore the effects of acupuncture combined with Buyang Huanwu Decoction on intestinal flora in cerebral blood flow hypo perfusion model rats with carotid artery stenosis. Methods　Totally 40 rats were randomly divided into sham-operation group, model group, TCM treatment group and acupuncture and drug combination treatment group, with 10 rats in each group. Except the sham-operation group, the other groups were prepared cerebral ischemia model by needle control and thread embolism method. TCM treatment group received Buyang Huanwu Decoction 100 mg/kg for gavage, once a day, and the intervention lasted for 2 weeks. In the acupuncture and drug combination group, based on the TCM treatment group, Baihui and its left and right sides of 2 mm were selected for acupuncture, once a day, and continuous intervention was performed for 2 weeks. Neurological function evaluation and behavioral function score were performed 7 and 14 days after administration, respectively. 16S rRNA sequencing was used to comprehensively characterize the structure and composition of fecal microflora of rats in each group. Linear discriminant analysis Effect Size (LEfSe) was used to analyze the difference of intestinal bacteria among groups. Result　On the 7th and 14th day after administration, compared with the model group, the neurological function score in the TCM treatment group and the acupuncture and drug combination group decreased (P<0.05), and the behavioral function score increased (P<0.05). Compared with model group, the Shannon index of TCM treatment group and acupuncture and drug combination group increased (P<0.05). The abundance of Firmicutes increased (P<0.05), and the abundance of Bacteroidetes and Proteobacteria decreased (P<0.05); the abundance of Clostridia increased (P<0.05), and the abundance of Gammaproteobacteria decreased (P<0.05). The abundance of Escherichia-Shigella and Bacteroides decreased (P<0.05); the abundance of lactobacillus significantly increased (P<0.05). Conclusion　 Acupuncture combined with Buyang Huanwu Decoction can improve the symptoms of cerebral hypoperfusion model rats with carotid artery stenosis, and the mechanism may be to increase the abundance of probiotics."
目的 利用数据挖掘技术总结中医药辨证治疗稳定型心绞痛（SAP）的组方思路及配伍规律。方法 检索中国知识资源总库（CNKI）、中国学术期刊数据库（万方数据）、中文科技期刊数据库（重庆维普）、中国生物医学文献服务系统（SinoMed）建库至 2022 年 2 月 28 日有关中医药治疗 SAP 的临床研究文献，采用 Clementine 12.0、Excel 2016、SPSS Statistics 22.0 软件对中药数据进行频次统计、聚类分析及关联规则分析，总结核心处方。结果 纳入处方 289 首，涉及中药 185 味，包含中医证型 38 种。基于 SAP“病”的整体研究发现，临床治疗 SAP 以活血化瘀药、补虚扶正药、理气化痰药为主，使用频次较高的中药包括川芎、丹参、甘草、黄芪、当归等；常用药对包括川芎-当归、川芎-红花、川芎-枳实等。药物复杂网络图及聚类分析显示，补阳还五汤化裁方是治疗 SAP 的基本方；基于 SAP“证”的研究发现，气虚血瘀证、痰瘀互结证、气滞血瘀证是 SAP 较为常见的中医证型，三者用药均以温、平为主；药味均以甘、辛、苦为主，多归肝、脾、肺、心经。其中，气虚血瘀证以黄芪、川芎、丹参等高频药物组成的补阳还五汤为基本方；痰瘀互结证常以制半夏、川芎、薤白等高频药物组成的瓜蒌薤白半夏汤合桃红四物汤为基本方；气滞血瘀证以川芎、当归、枳壳等高频药物组成的血府逐瘀汤为基本方。药物聚类分析气虚血瘀证与气滞血瘀证可分为 3 类，痰瘀互结证可分为 4 类。结论 虚、瘀、痰、滞是 SAP 的重要病理因素，其中气虚为发病基础，血瘀贯穿本病始终，或兼痰浊及气滞之证。围绕着本虚标实的病机，临床多治以补虚药和活血化瘀药，辨证选方。,"Objective　To summarize the thinking and compatibility law of TCM in the treatment of stable angina pectoris (SAP) based on syndrome differentiation using data mining technology. Methods　The clinical studies of TCM treatment for SAP in databases of CNKI, Wanfang Data, VIP and SinoMed China Biomedical Literature Service System were retrieved from the establishment of the databases to February 28, 2022. The frequency statistic, clustering analysis and association rule analysis of TCM data were conducted using Clementine 12.0, Excel 2016, SPSS Statistics 22.0 software, and core prescriptions were summarized. Results　 Totally 289 prescriptions were included, involving 185 kinds of Chinese materia medica, including 38 TCM syndrome types. Based on the overall study of SAP ""disease"", the clinical treatment of SAP was mainly based on the drugs for activating blood circulation and removing blood stasis, tonifying deficiency and strengthening healthy qi, and regulating qi and resolving phlegm. The single Chinese materia medica with high frequency of use were Chuanxiaong Rhizoma, Salviea Miltiorrhizae Radix et Rhizoma, Glycyrrhizae Radix et Rhizoma, Angelicae Sinensis Radix, Angelicae Sinensis Radix, etc. The commonly used drug pairs included Chuanxiaong Rhizoma-Angelicae Sinensis Radix, Chuanxiaong Rhizoma-Carthami Flos, Chuanxiaong Rhizoma-Aurantii Fructus Immaturus, etc. The drug complex network diagram and clustering analysis showed that the prescription of Buyang Huanwu Decoction was the basic prescription for the treatment of SAP; based on the specific research of SAP ""syndrome"", the most common TCM syndromes of SAP were qi deficiency and blood stasis, phlegm and blood stasis, and qi stagnation and blood stasis. The drug properties of the three drugs were mainly warm and mild; the tastes were mainly sweet, pungent and bitter, and most of them belong to the liver, spleen, lung and heart meridian; in terms of specific medication, the basic prescription of qi deficiency and blood stasis syndrome was Buyang Huanwu Decoction, which was composed of high-frequency drugs such as Angelicae Sinensis Radix, Chuanxiaong Rhizoma, Salviea Miltiorrhizae Radix et Rhizoma, etc; The phlegm and blood stasis syndrome was often based on the Gualou Xiebai Banxia Decoction and Taohong Siwu Decoction, which were composed of high frequency drugs such as Pinelliae Rhizoma, Chuanxiaong Rhizoma, Allii Macrostemonis Bulbus, etc; the basic prescription of qi stagnation and blood stasis syndrome was Xuefu Zhuyu Decoction, which was composed of high frequency drugs such as Chuanxiaong Rhizoma, Angelicae Sinensis Radix, Aurantii Fructus. Drug clustering analysis showed that both qi deficiency and blood stasis syndrome and qi stagnation and blood stasis syndrome were divided into 3 categories, and phlegm and blood stasis syndrome were divided into 4 categories. Conclusions　Deficiency, blood stasis, phlegm and stagnation are important pathological factors of SAP, in which qi deficiency is the basis of SAP, blood stasis runs through the disease, or both phlegm and qi stagnation. Focusing on the pathogenesis of deficiency in root and excess in superficiality, drugs with the efficacy of tonifying the deficiency and promoting blood circulation and removing blood stasis are used in clinical treatment, according to different syndrome differentiation of prescription selection."
基于络病理论，认为邪侵肺络，癌毒内蕴，逐渐形成“瘀络”“盛络”“虚络”等络脉病变，与肿瘤细胞形成的异常血管网络较为相似，可分别演变为缺氧、炎症、免疫抑制性的肿瘤微环境，影响肺癌的治疗效果。结合肿瘤生物学特性，基于叶天士“络以通为用”观点，可相应运用化瘀通络、解毒通络、益气通络之法，活用化瘀、解毒与扶正药物，靶向调节缺氧环境、炎症状态和免疫反应，有助于诱导肿瘤血管正常化，重塑肿瘤微环境，在提高联合治疗疗效的同时，也可减轻不良反应、提高患者耐受性。,"Based on the theory of collateral disease, it is believed that the invasion of evil into the lung collaterals and the internalization of cancer toxin gradually form ""stagnant collaterals,"" ""exuberant collaterals,"" and ""deficient collaterals,"" which are similar to the abnormal vascular network formed by tumor cells. They can evolve into hypoxic, inflammatory, and immunosuppressive tumor microenvironments, affecting the treatment effect of lung cancer. Combining the biological characteristics of tumors, based on Ye Tianshi's view of ""collaterals are used for their通畅,"" corresponding methods of activating blood and collaterals, detoxifying collaterals, and invigorating Qi and collaterals can be applied. The flexible use of hemostatic, detoxic, and tonifying drugs can target the regulation of hypoxic environment, inflammatory state, and immune response, which is helpful for inducing the normalization of tumor vessels and reshaping the tumor microenvironment. While improving the efficacy of combined treatment, it can also reduce adverse reactions and improve patient tolerance. Methods From the perspective of tumor biological characteristics, based on Ye Tianshi's view of ""collaterals are used for their通畅,"" corresponding methods of activating blood and collaterals, detoxifying collaterals, and invigorating Qi and collaterals can be applied. Flexible use of hemostatic, detoxic, and tonifying drugs can target the regulation of hypoxic environment, inflammatory state, and immune response, which is helpful for inducing the normalization of tumor vessels and reshaping the tumor microenvironment. This can improve the efficacy of combined treatment, while also reducing adverse reactions and improving patient tolerance."
肝郁脾虚证为溃疡性结肠炎（UC）的常见证型，中医基于“肝脾同治”理论治疗肝郁脾虚型UC疗效满意，不良反应较少。临床多运用以辨证论治、分期论治为主的中医内治法，以及以中药灌肠、针灸、穴位贴敷为主的中医外治法，可缓解症状、改善相关临床指标、提高患者生活质量。作用机制研究发现，具有疏肝运脾作用的中药复方主要通过调控信号通路传导、调节肠道菌群、改善炎症因子水平等多方面发挥治疗作用。,"Liver depression and spleen deficiency syndrome is a common syndrome type of ulcerative colitis (UC). Based on the theory of 'collaborative treatment of liver and spleen', TCM shows its effect and less adverse reactions in the treatment of UC with liver depression and spleen deficiency. The internal treatment of TCM based on syndrome differentiation and treatment by stages, as well as the external treatment of TCM based on TCM enema therapy, acupuncture therapy and acupoint application therapy, can relieve symptoms, improve relevant clinical indicators and improve the quality of life of patients. The mechanism studies show that the TCM with the effect of soothing the liver and activating the spleen plays a therapeutic role by regulating signal pathway conduction, regulating intestinal flora, and improving the level of inflammatory factors."
针刺治疗卒中后抑郁具有一定疗效，临床多从脑、肝与肾、心与脾或痰瘀论治，可发挥充养髓海、调理肝肾、濡养心神、健运脾胃作用。针刺可通过调节神经递质及受体、促进神经功能修复，抑制炎症因子分泌、减轻炎症反应，抑制下丘脑-垂体-肾上腺轴功能亢进，以及调节脑肠轴等，发挥抗抑郁作用。,"Acupuncture has a certain effect for the patients with post-stroke depression. In clinics, acupuncture treat this disease from the brain, liver and kidney, heart and spleen, and phlegm and blood stasis. Acupuncture plays a role in nourishing the bone of marrow, regulating the liver and kidney, nourishing the heart and mind, and invigorating the spleen and stomach. Acupuncture plays an antidepressant role by regulating neurotransmitters and receptors, promoting nerve function repair, inhibiting the secretion of inflammatory factors, reducing inflammatory response, inhibiting the hyperfunction of hypothalamic-pituitary-adrenal axis, and regulating the brain-gut axis."
中风软瘫以中风后患者身体运动功能异常，肌肉张力下降为主要表现，是中风后较为常见的病理状态，软瘫时间越长预后越差。中医理论认为，中风主因“虚、风、火、痰、瘀、气”而发病，当邪气搏结、阻于经络则使气血凝滞、经筋损伤、肌肉痿废，导致中风软瘫，因此需立以通经柔筋为其主要治法。火针治疗中风软瘫具有通经温阳、柔筋止痛的作用，可温阳散寒、充养经脉经气、松解筋脉结节、推动气血运行、濡养四肢百骸。火针疗法可促进神经通路的恢复，加强局部新陈代谢，改善局部肌张力，从而恢复肢体功能。火针治疗中风后软瘫的高质量临床研究、选穴规律、规范化操作手法等有待进一步深化。,"Stroke flaccid paralysis is stroke patients with abnormal physical movement function and muscle tone decline as the main performance and is a kind of common pathological state after apoplectic stroke. The longer the flaccid paralysis is, the worse the prognosis. The theory of TCM holds that stroke is mainly due to ""deficiency, wind, fire, phlegm, stasis, qi"", and when the pathogenic factor accumulate and block the meridians, which would cause blood stagnation, muscle and tendon damage and flaccidity, resulting in stroke paralysis. Therefore, it is necessary to set up the ""Tongjing Roujin"" (stimulating the muscle and nourishing the tendon) as its main treatment. Fire-needling has the effect of stimulating muscle, warming yang, nourishing tendon, and relieving pain in the treatment of stroke flaccid paralysis. It can warm yang and dissipate cold, replenish and nourish meridian qi, release muscle nodules, promote the circulation of qi and blood, and nourish all limbs and bones. Fire-needling therapy can promote the recovery of neural pathway, strengthen local metabolism, improve local muscle tension, and thus restore limb function. The high-quality clinical research, acupoint selection rules, and standardized operating techniques of fire-needling treatment for stroke flaccid paralysis need to be further deepened."
评价逍生散超声雾化联合睑板腺按摩治疗睑板腺功能障碍型干眼肝郁阴虚证的临床疗效。方法 随机对照试验研究。选取 2021 年 3－9 月中国中医科学院眼科医院睑板腺功能障碍型干眼肝郁阴虚证患者 50 例（100 只眼）作为观察对象，按随机数字表法分为 2 组，每组 25 例（50 只眼）。对照组予 0.1% 玻璃酸钠滴眼液联合睑板腺按摩，治疗组予逍生散超声雾化联合睑板腺按摩。2组均治疗 4周。分别于治疗前后观察患者泪膜破裂时间（BUT），行泪液分泌试验（SⅠT）并进行角结膜荧光染色（FL）评分、中医症状评分、睑板腺功能评分，评价临床疗效。结果 治疗组治疗后 BUT较对照组延长（t=8.76，P<0.01）、SⅠT 较对照组升高（t=6.18，P<0.01），FL 评分、中医症状积分、睑板腺功能评分较对照组降低（t 值分别为 2.19、5.36、12.09，P<0.01）。治疗组总有效率为 96.0%（24/25）、对照组为 68.0%（17/25），2 组比较差异有统计学意义（χ2=4.88，P=0.027）。结论 逍生散超声雾化联合睑板腺按摩可有效改善睑板腺功能障碍型干眼肝郁阴虚证患者的临床症状，且安全有效。,"To observe the clinical efficacy of Xiaosheng Powder ultrasonic nebulization combined with meibomian gland massage in treating liver depression and Yin deficiency pattern of meibomian gland dysfunction dry eye. Methods　Randomized controlled trial. From March 2021 to September 2021, a total of 50 patients (100 eyes) diagnosed with meibomian gland dysfunction dry eye of the liver depression and Yin deficiency pattern at the Ophthalmology Hospital of China Academy of Chinese Medical Sciences were selected. They were randomly divided into two groups using a random number table, with 25 patients (50 eyes) in each group. The control group received 0.1% sodium hyaluronate eye drops combined with meibomian gland massage, while the treatment group received Xiaosheng Powder nebulization combined with meibomian gland massage. Both groups were treated for 4 weeks. Before and after treatment, the tear film break-up time (BUT), Schirmer I test (SIT), corneal fluorescein staining (FL) scores, TCM symptom scores, and meibomian gland function scores were observed and evaluated. Adverse reactions were recorded. Results　 After treatment, the treatment group exhibited statistically significant improvements compared to the control group in the following aspects: BUT was significantly longer in the treatment group (t=8.76, P<0.01); SIT values were significantly higher in the treatment group (t= 6.18, P<0.01); FL scores, TCM symptom scores and meibomian gland function scores were significantly lower than in the treatment group (t values were 2.19, 5.36 and 12.09, P<0.01). The total effective rate in the treatment group was 96.0% (24/25), while in the control group, it was 68.0% (17/25), and the difference between the two groups was statistically significant (χ 2=4.88, P=0.027). Conclusion　 The combination of Xiaosheng Powder ultrasonic nebulization and meibomian gland massage is effective in improving the clinical symptoms of patients with meibomian gland dysfunction dry eye of the liver depression and Yin deficiency pattern. Furthermore, this approach is considered safe and efficient."
防风通圣散具有外散风热、内泻热结功效。回归刘完素学术思想本源，可知防风通圣散应以治风为标，治热为本，标本同治，表里双解，当为火热偏盛、内外俱实的病证而设。近年来，国内对本方的基础与临床研究方向主要有皮肤病、内分泌代谢疾病、消化系统疾病、呼吸系统疾病等，而国外相关研究则集中于肥胖相关的代谢疾病。研究发现，防风通圣散具有抗过敏、调节免疫、改善代谢紊乱等作用。目前，国内防风通圣散基础研究相对不足，对本方的机制探讨还需更加深入，且需开展更多大样本、高质量RCT。,"Fangfeng Tongsheng Powder has the effect of dispersing wind heat and internal purging heat. Returning to the origin of Liu Wansu's academic thought, it can be concluded that Fangfeng Tongsheng Powder should be based on the treatment of wind as the symptoms, the treatment of heat as the root, the treatment of both the symptoms and the root, and the double solution of the exterior and the interior. It should be set up for the syndrome of excessive heat and internal and external excess. In recent years, the basic and clinical research directions of this prescription in China mainly include skin diseases, endocrine and metabolic diseases, digestive system diseases, respiratory diseases, etc., while foreign related research focuses on obesity-related metabolic diseases. Studies have found that Fangfeng Tongsheng Powder has the effects of anti-allergy, regulating immunity and improving metabolic disorders. At present, the basic research on Fangfeng Tongsheng Powder in China is relatively insufficient, and the mechanism of Fangfeng Tongsheng Powder needs to be further explored, and more large samples and high-quality RCTs need to be carried out."
临床可从中医“血脉之心”与“神明之心”认识双心疾病，把握“气血失和、清浊不分”的核心病机，传承并创新蒲辅周先生“畅气血、重升降”学术思想，以及国医大师薛伯寿“和合思想”，从双心失调本质出发，以“气血同调、升清降浊”为核心治法。其中，气血同调应虚实异治，若以虚为主，需体用联合以调补气血，常用双和散；以实为主，需动静结合以通顺血脉，常用黄芪赤风汤、越鞠丸。升清降浊应斡旋气机、补泻合宜，常用升降散调气开郁，补中益气汤益气升清，枳术汤、枳术丸泄浊逐秽。,"Clinically, the concept of ""heart of blood vessels"" and ""heart of spirit"" in traditional Chinese medicine can be used to understand the dual-heart disease, grasp the core pathogenesis of ""disharmony of Qi and blood, and distinction of pure and turbid"", inherit and innovate Mr. Pu Fuzhu's academic thought of ""smoothing Qi and blood, emphasizing ascending and descending"", as well as the ""harmony thought"" of the national medical master Xue Boshou. Starting from the essence of the dual-heart disorder, the core treatment method is ""regulating Qi and blood together, ascending the clear and descending the turbid"". Among them, the regulation of Qi and blood should be treated differently according to deficiency and excess. If deficiency is the main issue, the combination of body and use should be used to regulate and supplement Qi and blood, and the commonly used prescription is Shuanghe Powder. If excess is the main issue, a combination of movement and stillness should be used to unblock the blood vessels, and commonly used prescriptions are Astragalus and Red Wind Soup, and Yueju Pill. Ascending the clear and descending the turbid should focus on regulating the Qi mechanism and appropriate supplementation and purgation, commonly using Shengjiang Powder to regulate Qi and relieve depression, Buzhong Yiqi Tang to supplement Qi and ascend the clear, and Zhishi Tang and Zhishi Pill to eliminate the turbid and expel the dirt."
大肠息肉的临床表现与湿邪黏滞、重着等特性相符，其好发人群的中医体质多与湿相关。易引发大肠息肉的肠道菌群失调、肠道微炎症状态、神经-内分泌-免疫网络和水通道蛋白异常等病理变化与湿邪现代机制研究结果相符。认为饮食不节、情志不畅等因素导致脾虚湿蕴，各种病邪交织形成有形异物是湿邪引发大肠息肉的中医病机。根据湿邪的致病特征，结合大肠息肉的发病因素，探讨湿邪在大肠息肉发病中的影响，以期为临床中大肠息肉的中西医结合诊疗提供有效的中医理论依据。,"The clinical manifestations of colorectal polyps are consistent with the characteristics of dampness, stickiness and heaviness. The TCM constitutions in the prone population are mostly related to dampness. The pathological changes of intestinal flora imbalance, intestinal micro inflammation, neuroendocrine immune network and abnormal aquaporin in colorectal polyps are consistent with the research results of modern mechanism of dampness pathogen. This article believed that the TCM pathogenesis of colorectal polyps caused by damp pathogen is the accumulation of spleen deficiency and dampness caused by improper diet, poor emotion and other factors, and the interweaving of various diseases and pathogens to form tangible foreign bodies. According to the pathogenic characteristics of damp pathogen and the pathogenic factors of colorectal polyps, the influence of damp pathogen on the pathogenesis of colorectal polyps was discussed, in order to provide an effective TCM theoretical basis for the diagnosis and treatment of colorectal polyps in clinic."
五善七恶是一种判断中医外科疾病预后的理论，被诸多中医古籍提及，为历代外科医家重视，但现代文献对其论述较少。五善七恶首见于《太平圣惠方》，其理论源自《灵枢·玉版》中的“逆顺”。五善七恶经过历代医家的发挥，衍生出诸多变体。通过梳理历代医籍对五善七恶的记载，发现主要版本有两大类：一是《太平圣惠方》版及其衍生版（痘疹五善七恶、五善七恶救援法等）；二是《外科正宗》版及其衍生版。,"""Wu shan qi e""(five symptoms with good prognosis and seven with poor prognosis)is a theory used to determine the prognosis of external diseases in traditional Chinese medicine which have been mentioned in many ancient Chinese medicine books and have been valued by external doctors throughout history. However, it has been rarely discussed in modern literature. The theory were first seen in the Taiping Shenghui Fang, and the idea was originated from Ni Shun in Lingshu Yuban.""Wu shan qi e""have evolved into many variants through the exertion of medical practitioners throughout history. By reviewing medical books of previous dynasties, it was found that there are two main versions: the Taiping Shenghui Fang version and its derivative versions, and the Waike Zhengzong version and its derivative versions."
